00:00 +0: loading C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/reminder_reconciler_test.dart
00:00 +0: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/reminder_reconciler_test.dart: OFF overtaking a platform schedule cancels it and ON recreates it: calendarEvent
00:00 +1: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/reminder_reconciler_test.dart: OFF overtaking a platform schedule cancels it and ON recreates it: task
00:00 +2: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/reminder_reconciler_test.dart: OFF overtaking a platform schedule cancels it and ON recreates it: weeklyReview
00:00 +3: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: expected existing reminder and platform identity are preserved
00:00 +4: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: expected existing reminder and platform identity are preserved
00:00 +5: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: expected existing reminder and platform identity are preserved
00:00 +6: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: expected existing reminder and platform identity are preserved
00:00 +7: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: expected existing reminder and platform identity are preserved
00:00 +8: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: expected existing reminder and platform identity are preserved
00:00 +9: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: expected existing reminder and platform identity are preserved
00:00 +10: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/reminder_reconciler_test.dart: calendarEvent preview content refresh reuses identity and is idempotent
00:00 +11: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: obsolete allocated reminder is cancelled and marked obsolete
00:00 +12: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/reminder_reconciler_test.dart: task preview content refresh reuses identity and is idempotent
00:00 +13: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: cancelled and deleted canonical occurrences remove reminders
00:00 +14: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/reminder_reconciler_test.dart: weeklyReview preview content refresh reuses identity and is idempotent
00:00 +15: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: reschedule retires old identity and creates new identity once
00:00 +16: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: reschedule retires old identity and creates new identity once
00:00 +17: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_horizon_reconciler_test.dart: source scope leaves unrelated Event and Task work untouched
00:00 +18: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +19: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +20: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +21: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +22: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +23: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +24: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +25: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +26: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +27: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +28: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +29: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +30: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +31: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +32: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +33: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +34: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +35: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +36: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +37: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +38: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
00:01 +39: C:/Users/sherl/Downloads/NT_B5_DEVELOP__deepseek-m7m8-20260911/test/features/notifications/application/event_reminder_mutation_boundary_test.dart: create and edit scopes invoke only their canonical Event sources
